,doc1_1,word1,doc1_2,word2,bidirectional_hash
8351,1584,4057,1584,1927,1125640243831050464
6249,1189,4057,1189,1927,1125640243831050464
7121,1355,54,1355,4080,1130578742935965024
2415,461,54,461,4080,1130578742935965024
9743,1851,3011,1851,3893,1141661750696278744
2618,498,3011,498,3893,1141661750696278744
4497,856,3011,856,3893,1141661750696278744
3683,699,3011,699,3893,1141661750696278744
6923,1317,4077,1317,1752,1142935400667744189
6445,1226,4077,1226,1752,1142935400667744189
7838,1488,1795,1488,4081,1150599628936826276
5306,1014,1795,1014,4081,1150599628936826276
16,2,4093,2,1649,1160898355356186942
17,2,1649,2,4093,1160898355356186942
4684,893,736,893,4123,1191640872439399019
60,11,736,11,4123,1191640872439399019
680,127,3668,127,3505,1192948260719342193
10375,1969,3668,1969,3505,1192948260719342193
279,54,4131,54,678,1203171930897452019
6284,1195,4131,1195,678,1203171930897452019
3777,716,4131,716,997,1204013752868314408
5882,1122,4131,1122,997,1204013752868314408
4746,905,1108,905,4131,1204698595195670419
6152,1169,1108,1169,4131,1204698595195670419
2559,488,3578,488,3626,1213224871917703744
9376,1779,3578,1779,3626,1213224871917703744
102,19,3578,19,3626,1213224871917703744
10383,1970,1330,1970,4140,1220352356571700000
4304,818,1330,818,4140,1220352356571700000
3661,696,4131,696,1965,1232324963091637776
6985,1327,4131,1327,1965,1232324963091637776
7889,1498,3954,1498,3092,1249075198683412256
584,110,3954,110,3092,1249075198683412256
1756,335,4131,335,2213,1256105748907251944
5977,1138,2213,1138,4131,1256105748907251944
4815,918,4080,918,2713,1277555603794044793
7775,1477,4080,1477,2713,1277555603794044793
7215,1371,4080,1371,2713,1277555603794044793
7955,1510,4080,1510,2713,1277555603794044793
7877,1496,4080,1496,2713,1277555603794044793
2316,443,1094,443,4181,1279184522040185125
6688,1272,1094,1272,4181,1279184522040185125
4511,858,175,858,4189,1289887568129759324
4356,829,175,829,4189,1289887568129759324
6587,1251,4131,1251,2500,1300684913137909651
8864,1685,4131,1685,2500,1300684913137909651
5292,1012,4196,1012,1111,1302393432991561527
1030,197,4196,197,1111,1302393432991561527
2468,471,1795,471,4197,1320886133114522632
3604,686,1795,686,4197,1320886133114522632
7122,1355,4080,1355,3020,1381787464880000000
8694,1652,4080,1652,3020,1381787464880000000
7048,1341,4080,1341,3020,1381787464880000000
7834,1488,4080,1488,3020,1381787464880000000
8120,1543,2612,1543,4181,1399198501009281733
8897,1690,2612,1690,4181,1399198501009281733
5217,997,2612,997,4181,1399198501009281733
7460,1419,4040,1419,3216,1420251525862424576
2054,393,4040,393,3216,1420251525862424576
5413,1036,4040,1036,3216,1420251525862424576
5492,1050,4040,1050,3216,1420251525862424576
506,95,203,95,4301,1471794970485802744
9934,1887,203,1887,4301,1471794970485802744
7302,1389,4311,1389,1983,1519647209700632694
340,67,4311,67,1983,1519647209700632694
6844,1303,4337,1303,1149,1536432732785286206
1378,264,1149,264,4337,1536432732785286206
66,12,479,12,4340,1539769666822018399
6589,1251,479,1251,4340,1539769666822018399
7072,1345,3751,1345,3807,1542243038307979558
2438,465,3751,465,3807,1542243038307979558
3962,755,4080,755,3375,1568472632857659375
8751,1664,4080,1664,3375,1568472632857659375
9532,1810,3624,1810,3991,1637619411621491575
454,87,3624,87,3991,1637619411621491575
3307,631,4337,631,2610,1655546389163605457
1573,301,4337,301,2610,1655546389163605457
828,156,2834,156,4324,1694380262826486048
4976,950,2834,950,4324,1694380262826486048
2959,566,3063,566,4303,1744829163640893286
4486,854,3063,854,4303,1744829163640893286
8107,1540,2834,1540,4355,1749347201536961299
163,31,2834,31,4355,1749347201536961299
10357,1965,1483,1965,4460,1771886928830087643
7194,1368,1483,1368,4460,1771886928830087643
9363,1777,3752,1777,4005,1773972818012803157
10333,1961,3752,1961,4005,1773972818012803157
157,30,3752,30,4005,1773972818012803157
5073,970,427,970,4485,1814745106580834032
2109,403,427,403,4485,1814745106580834032
7994,1518,142,1518,4503,1851440451954661975
6982,1327,142,1327,4503,1851440451954661975
3720,706,795,706,4503,1851757961421819618
6319,1202,795,1202,4503,1851757961421819618
5048,964,1202,964,4503,1853949519454618775
